Type,Size,Density,Iterations,Seed,STD,Time
dense,10,0.25,100,0,1.24623e-11,0
sparse,10,0.25,100,0,1.24623e-11,0
dense,10,0.25,100,1,0.021927,0
sparse,10,0.25,100,1,0.021927,1
dense,10,0.25,100,2,8.53453e-14,0
sparse,10,0.25,100,2,8.53453e-14,0
dense,10,0.25,100,3,5.00695e+38,0
sparse,10,0.25,100,3,5.00695e+38,0
dense,10,0.25,100,4,5.5323e+52,0
sparse,10,0.25,100,4,5.5323e+52,0
dense,20,0.25,100,0,8.0904e-15,0
sparse,20,0.25,100,0,8.0904e-15,1
dense,20,0.25,100,1,8.15884e-15,1
sparse,20,0.25,100,1,8.15884e-15,0
dense,20,0.25,100,2,1.35267e-14,0
sparse,20,0.25,100,2,1.35267e-14,1
dense,20,0.25,100,3,5.34449e-15,1
sparse,20,0.25,100,3,5.34449e-15,0
dense,20,0.25,100,4,1.31123e-14,0
sparse,20,0.25,100,4,1.31123e-14,1
dense,40,0.25,100,0,1.22872e-14,1
sparse,40,0.25,100,0,1.22872e-14,1
dense,40,0.25,100,1,1.38927e-14,1
sparse,40,0.25,100,1,1.38927e-14,1
dense,40,0.25,100,2,1.3584e-14,1
sparse,40,0.25,100,2,1.3584e-14,1
dense,40,0.25,100,3,1.22235e-14,1
sparse,40,0.25,100,3,1.22235e-14,1
dense,40,0.25,100,4,1.14829e-14,1
sparse,40,0.25,100,4,1.14829e-14,1
dense,80,0.25,100,0,1.65353e-14,5
sparse,80,0.25,100,0,1.65353e-14,2
dense,80,0.25,100,1,1.7488e-14,4
sparse,80,0.25,100,1,1.7488e-14,1
dense,80,0.25,100,2,1.79537e-14,5
sparse,80,0.25,100,2,1.79537e-14,3
dense,80,0.25,100,3,2.06645e-14,5
sparse,80,0.25,100,3,2.06645e-14,1
dense,80,0.25,100,4,1.78319e-14,4
sparse,80,0.25,100,4,1.78319e-14,1
dense,160,0.25,100,0,2.6357e-14,13
sparse,160,0.25,100,0,2.6357e-14,7
dense,160,0.25,100,1,2.60643e-14,18
sparse,160,0.25,100,1,2.60643e-14,7
dense,160,0.25,100,2,2.43772e-14,14
sparse,160,0.25,100,2,2.43772e-14,7
dense,160,0.25,100,3,2.60465e-14,20
sparse,160,0.25,100,3,2.60465e-14,7
dense,160,0.25,100,4,2.5912e-14,17
sparse,160,0.25,100,4,2.5912e-14,7
dense,320,0.25,100,0,3.43854e-14,65
sparse,320,0.25,100,0,3.43854e-14,18
dense,320,0.25,100,1,3.51634e-14,41
sparse,320,0.25,100,1,3.51634e-14,22
dense,320,0.25,100,2,3.65599e-14,53
sparse,320,0.25,100,2,3.65599e-14,16
dense,320,0.25,100,3,4.20874e-14,47
sparse,320,0.25,100,3,4.20874e-14,25
dense,320,0.25,100,4,3.47304e-14,53
sparse,320,0.25,100,4,3.47304e-14,18
dense,640,0.25,100,0,5.1667e-14,166
sparse,640,0.25,100,0,5.1667e-14,62
dense,640,0.25,100,1,5.32881e-14,197
sparse,640,0.25,100,1,5.32881e-14,74
dense,640,0.25,100,2,4.72562e-14,174
sparse,640,0.25,100,2,4.72562e-14,67
dense,640,0.25,100,3,5.52701e-14,164
sparse,640,0.25,100,3,5.52701e-14,63
dense,640,0.25,100,4,4.71885e-14,184
sparse,640,0.25,100,4,4.71885e-14,68
dense,1280,0.25,100,0,7.26009e-14,673
sparse,1280,0.25,100,0,7.26009e-14,228
dense,1280,0.25,100,1,7.26401e-14,709
sparse,1280,0.25,100,1,7.26401e-14,233
dense,1280,0.25,100,2,6.94468e-14,734
sparse,1280,0.25,100,2,6.94468e-14,228
dense,1280,0.25,100,3,7.07878e-14,717
sparse,1280,0.25,100,3,7.07878e-14,260
dense,1280,0.25,100,4,7.15734e-14,747
sparse,1280,0.25,100,4,7.15734e-14,249
dense,2560,0.25,100,0,9.45686e-14,2728
sparse,2560,0.25,100,0,9.45686e-14,927
dense,2560,0.25,100,1,9.26708e-14,2734
sparse,2560,0.25,100,1,9.26708e-14,1015
dense,2560,0.25,100,2,9.00088e-14,2847
sparse,2560,0.25,100,2,9.00088e-14,912
dense,2560,0.25,100,3,1.03008e-13,3090
sparse,2560,0.25,100,3,1.03008e-13,1086
dense,2560,0.25,100,4,9.6361e-14,2709
sparse,2560,0.25,100,4,9.6361e-14,917
dense,5120,0.25,100,0,1.27143e-13,11163
sparse,5120,0.25,100,0,1.27143e-13,3778
dense,5120,0.25,100,1,1.39288e-13,11162
sparse,5120,0.25,100,1,1.39288e-13,3870
dense,5120,0.25,100,2,1.45283e-13,11084
sparse,5120,0.25,100,2,1.45283e-13,3757
dense,5120,0.25,100,3,1.40372e-13,10913
sparse,5120,0.25,100,3,1.40372e-13,3739
dense,5120,0.25,100,4,1.36094e-13,11105
sparse,5120,0.25,100,4,1.36094e-13,3714
