Type,Size,Density,Iterations,Seed,STD,Time
dense,160,0.1,100,0,1.56E-14,13
sparse,160,0.1,100,0,1.56E-14,1
dense,160,0.1,100,1,1.72E-14,7
sparse,160,0.1,100,1,1.72E-14,1
dense,160,0.1,100,2,1.51E-14,7
sparse,160,0.1,100,2,1.51E-14,7
dense,160,0.1,100,3,1.38E-14,11
sparse,160,0.1,100,3,1.38E-14,2
dense,160,0.1,100,4,1.50E-14,7
sparse,160,0.1,100,4,1.50E-14,2
dense,160,0.1,100,5,1.81E-14,8
sparse,160,0.1,100,5,1.81E-14,1
dense,160,0.1,100,6,1.60E-14,8
sparse,160,0.1,100,6,1.60E-14,2
dense,160,0.1,100,7,1.58E-14,8
sparse,160,0.1,100,7,1.58E-14,1
dense,160,0.1,100,8,1.54E-14,8
sparse,160,0.1,100,8,1.54E-14,2
dense,160,0.1,100,9,1.78E-14,8
sparse,160,0.1,100,9,1.78E-14,2
dense,320,0.1,100,0,2.20E-14,32
sparse,320,0.1,100,0,2.20E-14,5
dense,320,0.1,100,1,2.27E-14,28
sparse,320,0.1,100,1,2.27E-14,4
dense,320,0.1,100,2,2.17E-14,30
sparse,320,0.1,100,2,2.17E-14,6
dense,320,0.1,100,3,2.35E-14,31
sparse,320,0.1,100,3,2.35E-14,6
dense,320,0.1,100,4,2.40E-14,30
sparse,320,0.1,100,4,2.40E-14,5
dense,320,0.1,100,5,2.40E-14,29
sparse,320,0.1,100,5,2.40E-14,4
dense,320,0.1,100,6,2.49E-14,30
sparse,320,0.1,100,6,2.49E-14,4
dense,320,0.1,100,7,2.38E-14,29
sparse,320,0.1,100,7,2.38E-14,4
dense,320,0.1,100,8,2.44E-14,28
sparse,320,0.1,100,8,2.44E-14,5
dense,320,0.1,100,9,2.42E-14,36
sparse,320,0.1,100,9,2.42E-14,4
dense,640,0.1,100,0,3.40E-14,110
sparse,640,0.1,100,0,3.40E-14,17
dense,640,0.1,100,1,3.24E-14,112
sparse,640,0.1,100,1,3.24E-14,17
dense,640,0.1,100,2,3.18E-14,111
sparse,640,0.1,100,2,3.18E-14,16
dense,640,0.1,100,3,3.41E-14,113
sparse,640,0.1,100,3,3.41E-14,16
dense,640,0.1,100,4,3.27E-14,114
sparse,640,0.1,100,4,3.27E-14,17
